'2019-07-19T00:02:00.663': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '44 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '7a ff 19 01 bc 00 4f 00 0b 00 f5 f7 03 02 86 ff e0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:06.367': {'opt': '00 00', 'bar': '1d 0b 00 8c 8a 01', 'temp': '50 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '80 ff 20 01 98 00 57 00 15 00 f1 f7 16 02 81 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:12.071': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '3c 0c 18 0e', 'hum': 'ec 69 50 60', 'mov': '61 ff f8 00 b2 00 4e 00 12 00 e8 f7 1e 02 81 ff e3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:17.774': {'opt': '00 00', 'bar': '1d 0b 00 8b 8a 01', 'temp': '38 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '53 ff 1b 01 b2 00 5c 00 17 00 e2 f7 19 02 7a ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:23.477': {'opt': '00 00', 'bar': '1d 0b 00 8a 8a 01', 'temp': '4c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '58 ff 09 01 b3 00 51 00 16 00 e9 f7 07 02 87 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:29.182': {'opt': '00 00', 'bar': '1d 0b 00 8c 8a 01', 'temp': '3c 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '7f ff 16 01 b5 00 55 00 12 00 f3 f7 0c 02 82 ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:34.886': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '83 ff 29 01 ae 00 4e 00 0e 00 dd f7 0f 02 8f ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:40.590': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '44 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '72 ff 21 01 bd 00 52 00 18 00 f7 f7 10 02 87 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:46.298': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '48 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '6b ff 1e 01 95 00 57 00 17 00 ea f7 08 02 7c ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:52.046': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '48 0c 18 0e', 'hum': 'ec 69 50 60', 'mov': '6b ff 09 01 bc 00 4f 00 16 00 e5 f7 10 02 7d ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:02:57.750': {'opt': '00 00', 'bar': '1e 0b 00 8f 8a 01', 'temp': '38 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '56 ff 25 01 b3 00 50 00 17 00 e9 f7 06 02 86 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:03.454': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '50 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '99 ff 15 01 c9 00 59 00 17 00 ef f7 10 02 80 ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:09.160': {'opt': '00 00', 'bar': '1e 0b 00 8f 8a 01', 'temp': '50 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '54 ff 1c 01 d7 00 5e 00 18 00 e2 f7 09 02 74 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:14.870': {'opt': '00 00', 'bar': '1e 0b 00 92 8a 01', 'temp': '40 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '7d ff 0e 01 a2 00 4c 00 1b 00 ef f7 01 02 73 ff de fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:20.614': {'opt': '00 00', 'bar': '1e 0b 00 93 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '6f ff 31 01 a4 00 59 00 19 00 f4 f7 14 02 75 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:26.317': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '48 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '6b ff 1e 01 a1 00 57 00 18 00 f0 f7 12 02 77 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:32.021': {'opt': '00 00', 'bar': '1d 0b 00 8b 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '7b ff 2e 01 c9 00 4d 00 11 00 e7 f7 0c 02 89 ff f1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:37.725': {'opt': '00 00', 'bar': '1d 0b 00 8c 8a 01', 'temp': '50 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '4b ff 2c 01 b8 00 4f 00 18 00 ef f7 15 02 82 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:43.478': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '30 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '70 ff 20 01 9e 00 49 00 19 00 eb f7 1a 02 84 ff e4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:49.188': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '34 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '7c ff 15 01 a9 00 58 00 1a 00 ee f7 18 02 7d ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:03:54.934': {'opt': '00 00', 'bar': '1c 0b 00 8c 8a 01', 'temp': '4c 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '61 ff 29 01 ac 00 4f 00 21 00 f6 f7 0f 02 83 ff e5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:00.637': {'opt': '00 00', 'bar': '1d 0b 00 91 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '80 ff 0e 01 b4 00 59 00 12 00 fb f7 14 02 7c ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:06.341': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '40 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '56 ff 26 01 c1 00 52 00 15 00 ea f7 12 02 83 ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:12.045': {'opt': '00 00', 'bar': '1e 0b 00 8f 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '67 ff 13 01 9a 00 5a 00 1a 00 f6 f7 09 02 82 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:17.749': {'opt': '00 00', 'bar': '1d 0b 00 90 8a 01', 'temp': '38 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '76 ff 31 01 c6 00 51 00 17 00 eb f7 02 02 7d ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:23.453': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '48 0c 18 0e', 'hum': 'ec 69 ff ff', 'mov': '79 ff 31 01 a9 00 4d 00 12 00 f3 f7 0b 02 83 ff e3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:29.157': {'opt': '00 00', 'bar': '1e 0b 00 90 8a 01', 'temp': '64 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '72 ff 05 01 c7 00 58 00 1b 00 ed f7 0f 02 83 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:34.860': {'opt': '00 00', 'bar': '1e 0b 00 8f 8a 01', 'temp': '60 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '4b ff 31 01 bf 00 50 00 0d 00 ec f7 0d 02 7a ff e3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:40.564': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '3c 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '5d ff 1b 01 bb 00 55 00 17 00 eb f7 0d 02 7a ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:46.268': {'opt': '00 00', 'bar': '1f 0b 00 92 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '68 ff 1d 01 ca 00 58 00 18 00 ed f7 08 02 83 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:51.971': {'opt': '00 00', 'bar': '1e 0b 00 90 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '7a ff 19 01 ba 00 58 00 1a 00 ea f7 16 02 7e ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:04:57.675': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '68 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '81 ff 26 01 8d 00 56 00 1c 00 f0 f7 13 02 76 ff f6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:03.380': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '80 ff 26 01 a6 00 53 00 11 00 f2 f7 0d 02 7e ff e5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:09.132': {'opt': '00 00', 'bar': '1c 0b 00 90 8a 01', 'temp': '48 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '6c ff 0f 01 93 00 59 00 11 00 ee f7 13 02 74 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:14.836': {'opt': '00 00', 'bar': '1e 0b 00 91 8a 01', 'temp': '4c 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '52 ff 19 01 c4 00 49 00 19 00 f2 f7 13 02 89 ff e4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:20.539': {'opt': '00 00', 'bar': '1d 0b 00 90 8a 01', 'temp': '54 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '7c ff 1c 01 ae 00 56 00 10 00 f0 f7 22 02 81 ff e3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:26.243': {'opt': '00 00', 'bar': '1d 0b 00 8d 8a 01', 'temp': '54 0c 18 0e', 'hum': 'f4 69 ff ff', 'mov': '8d ff 17 01 c4 00 55 00 19 00 ee f7 16 02 7c ff e0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:31.947': {'opt': '00 00', 'bar': '1e 0b 00 93 8a 01', 'temp': '44 0c 18 0e', 'hum': 'f4 69 ff ff', 'mov': '83 ff 10 01 a1 00 4a 00 1a 00 ef f7 08 02 7c ff de fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:37.653': {'opt': '00 00', 'bar': '1f 0b 00 94 8a 01', 'temp': '44 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '6e ff 0e 01 b3 00 56 00 1b 00 d8 f7 14 02 77 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:43.355': {'opt': '00 00', 'bar': '1e 0b 00 91 8a 01', 'temp': '54 0c 18 0e', 'hum': 'ec 69 50 60', 'mov': '72 ff 24 01 b7 00 53 00 19 00 f6 f7 13 02 80 ff e1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:49.058': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '40 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '60 ff 30 01 c1 00 55 00 18 00 ec f7 10 02 76 ff e1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:05:54.762': {'opt': '00 00', 'bar': '1d 0b 00 92 8a 01', 'temp': '64 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '69 ff 04 01 ad 00 54 00 1a 00 e8 f7 20 02 81 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:00.466': {'opt': '00 00', 'bar': '1d 0b 00 90 8a 01', 'temp': '34 0c 18 0e', 'hum': 'ec 69 10 60', 'mov': '74 ff fb 00 b4 00 56 00 11 00 ed f7 14 02 86 ff de fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:06.169': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '48 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '73 ff 2b 01 d6 00 51 00 1a 00 f6 f7 0d 02 86 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:11.873': {'opt': '00 00', 'bar': '1d 0b 00 90 8a 01', 'temp': '34 0c 18 0e', 'hum': 'ec 69 50 60', 'mov': '7d ff 13 01 ae 00 50 00 1d 00 e5 f7 08 02 86 ff e7 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:17.577': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '5c 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '89 ff 1f 01 ad 00 52 00 15 00 f0 f7 10 02 89 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
