'2019-07-18T17:34:34.038': {'opt': '50 00', 'bar': '28 0a 00 44 89 01', 'temp': 'fc 0a e4 0c', 'hum': '34 66 bc 60', 'mov': '9c ff 22 01 b1 00 59 00 16 00 e9 f7 c4 01 95 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:39.742': {'opt': '50 00', 'bar': '28 0a 00 45 89 01', 'temp': 'e4 0a e4 0c', 'hum': '38 66 bc 60', 'mov': 'ab ff 20 01 d5 00 55 00 17 00 ee f7 c8 01 94 ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:45.446': {'opt': '50 00', 'bar': '27 0a 00 44 89 01', 'temp': 'f8 0a e4 0c', 'hum': '38 66 bc 60', 'mov': '9c ff 31 01 d6 00 52 00 1d 00 f6 f7 c7 01 8e ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:51.150': {'opt': '50 00', 'bar': '28 0a 00 49 89 01', 'temp': 'e4 0a e4 0c', 'hum': '38 66 bc 60', 'mov': '99 ff 35 01 c0 00 55 00 17 00 e6 f7 c3 01 8d ff f9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:34:56.902': {'opt': '50 00', 'bar': '28 0a 00 3f 89 01', 'temp': 'f0 0a e4 0c', 'hum': '38 66 bc 60', 'mov': '87 ff 2c 01 ce 00 59 00 0a 00 e0 f7 c4 01 97 ff f4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:02.606': {'opt': '50 00', 'bar': '28 0a 00 40 89 01', 'temp': 'd4 0a e4 0c', 'hum': '38 66 bc 60', 'mov': 'a5 ff 40 01 b6 00 61 00 1a 00 ed f7 d6 01 99 ff 00 ff', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:08.310': {'opt': '50 00', 'bar': '29 0a 00 44 89 01', 'temp': 'f4 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '99 ff 05 01 cc 00 59 00 15 00 f4 f7 c2 01 84 ff f6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:14.014': {'opt': '50 00', 'bar': '28 0a 00 48 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '78 ff 1d 01 b5 00 54 00 08 00 ec f7 bc 01 9b ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:19.766': {'opt': '50 00', 'bar': '28 0a 00 3f 89 01', 'temp': '0c 0b e4 0c', 'hum': '38 66 7c 60', 'mov': 'c3 ff 3a 01 cd 00 5a 00 17 00 e9 f7 cd 01 8d ff f5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:25.519': {'opt': '50 00', 'bar': '28 0a 00 43 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 7c 60', 'mov': 'af ff 40 01 dc 00 55 00 13 00 ea f7 bb 01 8c ff f4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:31.223': {'opt': '50 00', 'bar': '28 0a 00 43 89 01', 'temp': '18 0b e4 0c', 'hum': '38 66 7c 60', 'mov': 'da ff f4 00 c4 00 55 00 14 00 e5 f7 c9 01 8e ff f4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:36.926': {'opt': '50 00', 'bar': '29 0a 00 45 89 01', 'temp': 'ec 0a e4 0c', 'hum': '34 66 7c 60', 'mov': 'a3 ff 2d 01 dc 00 51 00 18 00 e7 f7 c1 01 8d ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:42.630': {'opt': '50 00', 'bar': '29 0a 00 45 89 01', 'temp': 'ec 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '86 ff 20 01 d5 00 56 00 1a 00 f6 f7 cd 01 8a ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:48.334': {'opt': '50 00', 'bar': '29 0a 00 45 89 01', 'temp': '00 0b e4 0c', 'hum': '38 66 7c 60', 'mov': '8b ff 39 01 c4 00 50 00 20 00 f9 f7 be 01 8f ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:54.037': {'opt': '50 00', 'bar': '28 0a 00 46 89 01', 'temp': 'f8 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '94 ff 24 01 bf 00 58 00 16 00 e9 f7 c9 01 9a ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:35:59.741': {'opt': '50 00', 'bar': '29 0a 00 46 89 01', 'temp': 'f0 0a e4 0c', 'hum': '38 66 7c 60', 'mov': 'ad ff 29 01 d1 00 5b 00 19 00 ed f7 bf 01 97 ff f6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:05.446': {'opt': '48 00', 'bar': '29 0a 00 46 89 01', 'temp': '14 0b e4 0c', 'hum': '38 66 7c 60', 'mov': '7d ff 30 01 b9 00 58 00 14 00 ee f7 bf 01 93 ff f6 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:11.148': {'opt': '50 00', 'bar': '29 0a 00 46 89 01', 'temp': 'f4 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '75 ff 36 01 ce 00 53 00 11 00 e7 f7 ce 01 87 ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:16.853': {'opt': '50 00', 'bar': '29 0a 00 48 89 01', 'temp': 'f0 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '95 ff 32 01 b0 00 53 00 1b 00 f0 f7 ca 01 8f ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:22.556': {'opt': '50 00', 'bar': '28 0a 00 43 89 01', 'temp': '00 0b e4 0c', 'hum': '40 66 7c 60', 'mov': '88 ff 20 01 c9 00 4d 00 15 00 c5 f7 c8 01 94 ff fc fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:28.257': {'opt': '50 00', 'bar': '29 0a 00 46 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '8a ff 16 01 da 00 5c 00 14 00 e9 f7 cb 01 9c ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:33.964': {'opt': '50 00', 'bar': '28 0a 00 44 89 01', 'temp': 'ec 0a e4 0c', 'hum': '38 66 7c 60', 'mov': 'a5 ff 3e 01 cb 00 53 00 16 00 f2 f7 c3 01 9b ff f5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:39.668': {'opt': '50 00', 'bar': '28 0a 00 40 89 01', 'temp': 'f4 0a e4 0c', 'hum': '38 66 7c 60', 'mov': '85 ff 3c 01 a2 00 64 00 1c 00 fe f7 c4 01 9a ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:45.949': {'opt': '50 00', 'bar': '28 0a 00 42 89 01', 'temp': '00 0b e4 0c', 'hum': '40 66 7c 60', 'mov': 'b3 ff 14 01 c9 00 5a 00 18 00 f0 f7 c5 01 91 ff f3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:51.660': {'opt': '50 00', 'bar': '2a 0a 00 46 89 01', 'temp': 'f0 0a e4 0c', 'hum': '38 66 3c 60', 'mov': '88 ff 44 01 cb 00 5e 00 1a 00 ec f7 c7 01 89 ff ed fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:36:57.364': {'opt': '50 00', 'bar': '29 0a 00 44 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'ab ff 3a 01 ae 00 50 00 1b 00 eb f7 be 01 91 ff f7 fe', 'MAC': '54:6C:0E:53:00:97'}
